EG	GN	GI	Type	Len	Ori	LeftEnd	RightEnd	Syn	MN	Description	
EG11101	aes	g1786682	aa	319	Counterclockwise	498238	499197	ybaC	Acetyl esterase	Short acyl chain and triacetyl glycerol esterase; affects maltose gene expression
EG11102	gsk	g1786684	aa	434	Clockwise	499349	500653	Null	Guanosine kinase	Inosine-guanosine kinase
EG11103	fimZ	g1786747	aa	210	Counterclockwise	563071	563703	ybcA	Fimbriae	Predicted fimbriae protein synthesis regulator
EG11104	entS	g1786806	aa	416	Clockwise	621523	622773	ybdA	Enterochelin	Enterobactin exporter, iron-regulated; hyperlethality gene
EG11105	entH	g1786813	aa	137	Clockwise	628523	628936	ybdB	Systematic nomenclature	Thioesterase required for efficient enterobactin production; may correct misacylation of the aryl carrier protein domain of EntB
EG11107	ybdD	g87081761	aa	65	Clockwise	631405	631602	Null	Systematic nomenclature	Function unknown, DUF466 family
EG11108	ybgA	g1786925	aa	169	Clockwise	738224	738733	tkp	Systematic nomenclature	Function unknown, DUF1722 family
EG11109	mngR	g1786950	aa	240	Counterclockwise	764376	765098	farR;ybgB	ManNosyl Glycerate	mngAB operon repressor, mannosyl glycerate utilization
EG11110	ybgC	g1786957	aa	134	Clockwise	773975	774379	Null	Systematic nomenclature	Acyl-CoA thioesterase, involved in phospholipid metabolism; binds ACP; acyl-ACP could be native substrate
EG11111	cspD	g1787107	aa	74	Counterclockwise	921589	921813	cspH;ybjA	Cold shock protein	Inhibitor of DNA replication; cold shock protein homolog, not cold shock inducible; stationary phase and starvation inducible; lethal when overproduced
EG11112	aat	g1787111	aa	234	Counterclockwise	925951	926655	ycaA	Amino acyl-tRNA-protein transferase	Leucyl, phenylalanyl-tRNA-protein transferase; L/F-transferase; transfers Leu or Phe to N-terminal Arg or Lys residues; required for the N-end rule degradation by ClpAP protease
EG11113	yccA	g1787205	aa	219	Counterclockwise	1029982	1030641	Null	Systematic nomenclature	HflBKC-binding inner membrane protein, UPF0005 family; UPF0005 family; mutant YccA stabilizes SecY(Ts); suppression requires HflKC; YccA is a native substrate for the FtsH(HflB) protease
EG11114	yccB	Null	aa	30	Clockwise	1039668	1039760	Null	Systematic nomenclature	Expressed protein, function unknown; predicted transmembrane domain
EG11116	yceA	g1787294	aa	350	Clockwise	1116030	1117082	Null	Systematic nomenclature	Predicted rhodanese, function unknown
EG11117	yceB	g1787302	aa	186	Counterclockwise	1121936	1122496	Null	Systematic nomenclature	Novel verified lipoprotein, DUF1439 family, function unknown
EG11118	rluC	g1787327	aa	319	Clockwise	1144163	1145122	yceC	rRNA, large, uridine	23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580
EG11119	yceD	g1787329	aa	173	Clockwise	1146017	1146538	Null	Systematic nomenclature	Function unknown, DUF177 family
EG11120	tfaE	g1787402	aa	200	Counterclockwise	1207740	1208342	ycfA	Tail fiber asembly	Predicted tail fiber assembly gene, e14 prophage
EG11121	yciA	g1787506	aa	132	Counterclockwise	1309872	1310270	Null	Systematic nomenclature	Acyl-CoA esterase, role unknown
EG11122	yciB	g1787507	aa	179	Counterclockwise	1310375	1310914	ispA(S.f.)	Systematic nomenclature	Involved in intracellular septation in Shigella
EG11123	yciC	g1787508	aa	247	Counterclockwise	1310944	1311687	Null	Systematic nomenclature	Function unknown, UPF0259 family
EG11124	ompW	g1787510	aa	212	Clockwise	1312044	1312682	yciD	Outer membrane protein	Outer membrane protein W; colicin S4 receptor
EG11125	yciE	g1787511	aa	168	Counterclockwise	1312742	1313248	Null	Systematic nomenclature	Function unknown, rubrerythrin/ferritin-like putative metal-binding protein
EG11126	yciF	g1787512	aa	166	Counterclockwise	1313294	1313794	Null	Systematic nomenclature	Function unknown, H-NS repressed; dimeric; rubrerythrin/ferritin-like putative metal-binding protein
EG11127	yciG	g87081862	aa	59	Counterclockwise	1313880	1314059	Null	Systematic nomenclature	Required for swarming phenotype, function unknown
EG11128	yciH	g87081867	aa	108	Clockwise	1340682	1341008	Null	Systematic nomenclature	Mimics some initiation factor functions, binds 30S subunit; SUI1 family; eIF1 homolog
EG11129	rem	g1787844	aa	83	Counterclockwise	1642675	1642926	Null	Rem is after rel, alphabetically	Function unknown, Qin prophage; downstream of relF gene
EG11130	hokD	g1787845	aa	51	Counterclockwise	1643143	1643298	relF	Host killing	Small toxic membrane polypeptide, Qin prophage; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
EG11131	relE	g1787846	aa	95	Counterclockwise	1643370	1643657	Null	Relaxed	Sequence-specific mRNA endoribonuclease, Qin prophage; toxin-antitoxin (TA) pair RelEB, RelE inhibitor of translation cleaves mRNA in A site; binds to its antitoxin RelB and to ribosomes; co-repressor of relB operon transcription; stress-induced
EG11132	ppsR	g1787995	aa	277	Clockwise	1785469	1786302	duf299;ydiA	PEP synthase regulation	PEP synthase regulatory protein PSRP; bifunctional PEP synthase kinase, ADP-dependent, and PEP synthase pyrophosphorylase, Pi-dependent; tetrameric; DUF299 family
EG11133	nlpC	g1788001	aa	154	Counterclockwise	1790291	1790755	Null	New lipoprotein	Predicted peptidase, C40 clan, function unknown, lipoprotein
EG11134	ydjA	g1788063	aa	183	Counterclockwise	1846149	1846700	Null	Systematic nomenclature	Putative nitroreductase, function unknown, binds FMN; low abundance protein
EG11135	pncA	g87081970	aa	213	Clockwise	1849911	1850552	nam;ydjB	Pyridine nucleotide cycle	Pyrazinamidase/nicotinamidase
EG11136	yebB	g87081991	aa	200	Clockwise	1944275	1944877	Null	Systematic nomenclature	Function unknown, DUF830 family
EG11137	yebC	g1788171	aa	246	Counterclockwise	1945435	1946175	Null	Systematic nomenclature	Function unknown, expressed protein, UPF0082 family
EG11138	nudB	g1788172	aa	150	Counterclockwise	1946204	1946656	ntpA;orf17;yebD	Nudix hydrolase	Dihydroneopterin triphosphate pyrophosphohydrolase; early step in folate synthesis 
EG11139	yecA	g1788219	aa	221	Counterclockwise	1988978	1989643	Null	Systematic nomenclature	Function unknown, UPF0149 family
EG11140	uvrY	g1788222	aa	218	Counterclockwise	1992727	1993383	gacA;sirA(S.t.);yecB	UV resistant	Response regulator, pleiotrpic; controls the expression of csrB/C sRNAs; hydrogen peroxide resistance; cognate sensorregulator is BarA
EG11141	yedA	g1788269	aa	306	Clockwise	2027563	2028483	Null	Systematic nomenclature	Predicted transporter, inner membrane protein, DMT superfamily, function unknown
EG11142	yfaA	g87082069	aa	562	Counterclockwise	2332978	2334666	pufY	Systematic nomenclature	Conserved protein, DUF2138 family, function unknown
EG11143	ubiG	g1788564	aa	240	Clockwise	2337589	2338311	pufX;yfaB	Ubiquinone	SAM:OMHMB methyltransferase; Reactions: 2-octaprenyl-6-hydroxylphenol to 2-octaprenyl-6-methoxyphenol; 2-octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone to ubiquinone 8
EG11144	yfcA	g1788667	aa	269	Counterclockwise	2442773	2443582	Null	Systematic nomenclature	Inner membrane protein, UPF0721 family, function unknown
EG11145	yfeA	g87082096	aa	729	Counterclockwise	2513665	2515854	Null	Systematic nomenclature	Predicted c-di-GMP dual activity enzyme, function unknown
EG11146	xapR	g2367136	aa	294	Counterclockwise	2519615	2520499	pRndR;yfeB	XAnthosine Phosphorylase	Regulatory gene for xapAB
EG11147	yffB	g1788815	aa	118	Clockwise	2589269	2589625	Null	Systematic nomenclature	Predicted reductase, function unknown, ArsC family; low abundance protein
EG11149	gcvR	g87082113	aa	190	Clockwise	2597928	2598500	yffD	Glycine cleavage	Required for repression of gcv operon by GcvA; GcvA-GcvR repressor complex disrupted by glycine binding to GcvR
EG11150	hyfA	g87082114	aa	205	Clockwise	2599223	2599840	yffE	Hydrogenase	Hydrogenase 4 component A, ferrodexin-like
EG11151	raiA	g1788949	aa	113	Clockwise	2735176	2735517	yfiA	ribosome-associated inhibitor A	Protein Y, associated with 30S ribosomal subunit; inhibits 70S dimer formation; stabilizes the ribosomal 70S complex against dissociation at low magnesium ion concentrations; counteracts miscoding under stress conditions 
EG11152	yfiB	g1788957	aa	160	Clockwise	2741647	2742129	Null	Systematic nomenclature	Probable positive effector of YfiN activity, OM lipoprotein
EG11153	rimM	g87082136	aa	182	Counterclockwise	2743392	2743940	yfjA	Ribosomal modification	Factor required for 16S RNA processing; 30S maturation; binds S19
EG11154	ppdC	g1789187	aa	107	Counterclockwise	2960463	2960786	ygdA	Prepilin peptidase-dependent	Required for swarming phenotype, function unknown; first 10 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
EG11155	ygdB	g87082164	aa	135	Counterclockwise	2960771	2961178	Null	Systematic nomenclature	Function unknown, DUF2509 family
EG11156	ppdB	g1789189	aa	187	Counterclockwise	2961175	2961738	ygdC	Prepilin peptidase-dependent	Function unknown; regulated by FlhDC and FliA; mutants are not defective in motlity or chemotraxis; first 7 residues may be cleaved by prepilin peptidase to leave an N-terminal methylphenylalanine
EG11157	ygeA	g1789205	aa	230	Counterclockwise	2977965	2978657	Null	Systematic nomenclature	Function unknown, Asp/Glu_racemase family
EG11158	ygfA	g1789278	aa	182	Clockwise	3054263	3054811	Null	Systematic nomenclature	Function unknown, 5-formyltetrahydrofolate cyclo-ligase family; expressed second gene in ssrS operon
EG11159	argO	g1789290	aa	211	Counterclockwise	3066195	3066830	yggA	Arginine	Arginine exporter
EG11160	mscS	g1789291	aa	286	Counterclockwise	3066969	3067829	yggB	Mechanosensitive channel	Mechanosensitive channel protein, intermediate conductance; heptameric
EG11161	yggC	g1789296	aa	237	Counterclockwise	3071998	3072711	Null	Systematic nomenclature	Predicted kinase, function unknown
EG11162	yggD	g1789297	aa	169	Counterclockwise	3072708	3073217	Null	Systematic nomenclature	Predicted transcriptional regulator, function unknown
EG11164	ygiB	g87082200	aa	223	Clockwise	3177766	3178437	Null	Systematic nomenclature	Probable lipoprotein, function unknown, UPF0441 family; conserved lipobox
EG11165	ygiC	g1789416	aa	386	Clockwise	3178443	3179603	Null	Systematic nomenclature	Glutathionylspermidine synthase paralog, function unknown
EG11166	ygiD	g1789417	aa	262	Counterclockwise	3179641	3180429	Null	Systematic nomenclature	Predicted dioxygenase, LigB family, function unknown
EG11167	zupT	g1789419	aa	257	Clockwise	3180572	3181345	ygiE	Zinc uptake transporter	Zinc and other divalent cation uptake transporter
EG11168	ttdA	g1789442	aa	303	Clockwise	3204485	3205396	ygjA	Tartrate dehydratase	L-Tartrate dehydratase alpha subunit
EG11169	ttdB	g1789443	aa	201	Clockwise	3205393	3205998	ygjB	Tartrate dehydratase	L-Tartrate dehydratase beta subunit
EG11171	ygjD	g1789445	aa	337	Counterclockwise	3207552	3208565	gcp;ugmP	Systematic nomenclature	Involved in genome maintenance, essential gene; Gcp glycoprotease homolog
EG11172	tdcD	g1789503	aa	402	Counterclockwise	3260474	3261682	yhaA	Threonine dehydratase, catabolic	Propionate kinase, anaerobic; non-essential gene
EG11173	yhaB	g87082215	aa	179	Clockwise	3265876	3266415	Null	Systematic nomenclature	Function unknown
EG11174	yhaC	g1789509	aa	395	Clockwise	3266437	3267624	Null	Systematic nomenclature	Function unknown
EG11175	garK	g1789512	aa	381	Counterclockwise	3268647	3269792	yhaD	Galactarate	Glycerate kinase, glycerate- or glucarate-inducible; GK1; produces 2-phosphoglycerate
EG11176	garR	g87082216	aa	294	Counterclockwise	3269889	3270773	yhaE	Galactarate	Tartronate semialdehyde reductase, glycerate- or galactarate-inducible
EG11177	truB	g2367200	aa	314	Counterclockwise	3309855	3310799	yhbA	tRNA uridine	tRNA U55 pseudouridine synthase
EG11178	rbfA	g1789558	aa	133	Counterclockwise	3310799	3311200	sdr-43;yhbB	Ribosome binding factor	Ribosome binding factor required for efficient processing of 16s rRNA; cold-shock adaptation protein; overexpression suppresses cold-sensitive 16S rRNA
EG11179	rimP	g87082222	aa	150	Counterclockwise	3315576	3316028	yhbC	Ribosomal modification	Factor required for maturation of 30S ribosomal subunits
EG11180	mscL	g1789686	aa	136	Clockwise	3436046	3436456	stkA;yhdC	Mechanosensitive channel	Mechanosensitive channel protein, high conductance; homopentameric
EG11181	bfd	g1789735	aa	64	Counterclockwise	3464819	3465013	yheA	Bfr regulating	Bacterioferritin-associated ferredoxin; predicted redox component complexing with Bfr in iron storage and mobility [2Fe-2S]
EG11182	yhfA	g1789755	aa	134	Counterclockwise	3483436	3483840	Null	Systematic nomenclature	Function unknown, OsmC family
EG11183	damX	g1789790	aa	428	Counterclockwise	3514042	3515328	yhfB	DNA adenine methylase	Cell division protein, binds septal ring
EG11184	yhhA	g1789857	aa	146	Clockwise	3584966	3585406	Null	Systematic nomenclature	Function unknown, DUF2756 family
EG11186	yiaA	g87082292	aa	145	Counterclockwise	3724947	3725384	Null	Systematic nomenclature	Inner membrane protein, YiaAB family, function unknown
EG11187	yibA	g1790021	aa	280	Clockwise	3764360	3765202	Null	Systematic nomenclature	Hyperlethality gene, contains one HEAT-like motif
EG11188	yibB	g87082299	aa	285	Counterclockwise	3790849	3791706	htrL	Systematic nomenclature	Conserved protein, pfam09612 family, function unknown
EG11189	rfaC	g1790051	aa	319	Clockwise	3794002	3794961	waaC;yibC	Rough	LPS heptosyltransferase I; LPS core biosynthesis; transfers innermost heptose to KDO
EG11190	coaD	g1790065	aa	159	Clockwise	3807848	3808327	kdtB;yicA	Coenzyme A	Phosphopantetheine adenylyltransferase
EG11191	slmA	g87082302	aa	198	Clockwise	3812517	3813113	ttk;yicB	Synthetic lethal with min	Division inhibitor that binds FtsZ and blocks septal rings; DNA-associated
EG11192	yicC	g1790075	aa	287	Clockwise	3814699	3815562	Null	Systematic nomenclature	Function unknown, UPF0701 family
EG11193	dinD	g87082303	aa	274	Clockwise	3815783	3816607	pcsA;yicD	Damage inducible	Damage inducible, function unknown
EG11194	xanP	g1790087	aa	463	Clockwise	3826968	3828359	yicE	Xanthine	Xanthine permease
EG11195	yidA	g2367265	aa	270	Counterclockwise	3874163	3874975	Null	Systematic nomenclature	Erythrose 4-P and mannose 1-P phosphatase; alpha-D-glucose-1-P phosphatase, anomer-specific; phosphoramidase; physiological role unknown; additional in vitro substrates include: ribose-5-P, fructose-1-P, fructose-6-P, glucose-6-P, acetyl phosphate; HAD13
EG11196	yidB	g87082321	aa	132	Counterclockwise	3875090	3875488	Null	Systematic nomenclature	Function unknown, DUF937 family
EG11197	yidC	g1790140	aa	548	Clockwise	3883099	3884745	oxaA	Systematic nomenclature	Membrane protein insertase; inner membrane protein integration factor; binds TM regions of nascent IMPs; required for Sec-independent IMP integration; associated with the Sec translocase
EG11198	glmU	g1790168	aa	456	Counterclockwise	3911853	3913223	tms(B.s.);yieA	Glucosamine	Bifunctional glucosamine-1-phosphate acetyltransferase and N-acetylglucosamine-1-phosphate uridylyltransferase
EG11199	mioC	g1790181	aa	147	Counterclockwise	3924035	3924478	yieB	Minimal origin	Required for biotin synthase activity in vitro; flavodoxin-like FMN-binding protein; transcription of mioC through oriC may have physiological significance in suboptimal conditions
EG11201	yigA	g1790243	aa	235	Clockwise	3993606	3994313	Null	Systematic nomenclature	Function unknown, DUF484 family
EG11202	yigB	g2367295	aa	238	Clockwise	3995206	3995922	Null	Systematic nomenclature	FMN phosphatase; physiological role unknown; HAD7
EG11203	yihA	g87082340	aa	210	Counterclockwise	4048156	4048788	engB	Systematic nomenclature	GTP-binding protein required for normal cell division; predicted GTPase; also binds GDP
EG11204	murI	g87082355	aa	285	Clockwise	4163451	4164308	dga;glr;yijA	Murein	Glutamate racemase, D-glutamate synthesis
EG11205	murB	g1790407	aa	342	Clockwise	4170080	4171108	yijB	Murein	UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding
EG11206	yjaA	g1790441	aa	127	Clockwise	4211257	4211640	Null	Systematic nomenclature	Conserved stress-induced protein, function unknown; involved in peroxide and acid resistance
EG11207	yjaB	g1790442	aa	147	Counterclockwise	4211703	4212146	Null	Systematic nomenclature	Predicted acetyltransferase; transcribed divergently from a promoter that overlaps the metA promoter
EG11208	arpA	g1790447	aa	728	Counterclockwise	4218324	4220510	yjaC	Ankyrin-like regulatory protein	Ankyrin repeat protein, function unknown
EG11209	psiE	g1790462	aa	136	Clockwise	4238348	4238758	yjbA	P starvation induced	Pho regulon, regulated by phoB and cAMP
EG11210	yjdA	g1790548	aa	742	Clockwise	4325158	4327386	Null	Systematic nomenclature	Mutational suppressor of yhjH motility defect, function unknown; Dynamin GTPase superfamily
EG11211	poxA	g87082379	aa	325	Clockwise	4380666	4381643	genX;yjeA	Pyruvate oxidase	Regulator of poxB; mutants are hypersensitive to sulfometuron methyl, alpha-keto butyrate, and many amino acid analogs; slow growth rate; hypersensitivity to many antibiotics and dyes
EG11212	nsrR	g1790621	aa	141	Clockwise	4404213	4404638	yjeB	Nitrite-sensitive repressor	Nitric oxide-sensitive repressor; regulates hmp, ygbA, ytfE, tehA and hcp-hcr
EG11214	yjjA	g87082434	aa	164	Counterclockwise	4597718	4598212	Null	Systematic nomenclature	Predicted secreted protein, function unknown
EG11215	yjjB	g1790825	aa	157	Counterclockwise	4599647	4600120	Null	Systematic nomenclature	Function unknown; expressed P14 protein upstream of dnaTC; putative membrane protein with 4 TM helices
EG11217	creA	g1790859	aa	157	Clockwise	4633544	4634017	yjjD	Catabolite regulation	Predicted secreted protein, function unknown
EG11218	creB	g1790860	aa	229	Clockwise	4634030	4634719	ORF2;yjjE	Catabolite regulation	Response regulator for CreBC regulon; induced by growth in minimal medium
EG11219	ydcA	g1787688	aa	57	Clockwise	1489701	1489874	Null	Systematic nomenclature	Function unknown
EG11221	zwf	g1788158	aa	491	Counterclockwise	1932863	1934338	Null	Zwischenferment	Glucose-6-phosphate 1-dehydrogenase
EG11222	alkA	g1788383	aa	282	Counterclockwise	2144716	2145564	aidA	Alkylation	3-methyl-adenine DNA glycosylase II, inducible; repairs by single-and double-strand excision of 3-methyl adenine
EG11223	argH	g1790398	aa	457	Clockwise	4154873	4156246	Null	Arginine	Argininosuccinate lyase
EG11224	fliO	g87082005	aa	121	Clockwise	2019528	2019893	flbD	Flagella	Flagellin export apparatus, integral membrane protein
EG11225	dcuA	g1790580	aa	433	Counterclockwise	4363495	4364796	genA	Dicarboxylate uptake	C4-dicarboxylate transporter, anaerobic
EG11226	leuA	g1786261	aa	523	Counterclockwise	81958	83529	Null	Leucine (biosynthesis)	alpha-Isopropylmalate synthase
EG11227	fdnG	g3868719	aa	1015	Clockwise	1545425	1548472	Null	Formate dehydrogenase-N	Formate dehydrogenase-N, selenopeptide, anaerobic; periplasmic
EG11228	fdnH	g1787749	aa	294	Clockwise	1548485	1549369	Null	Formate dehydrogenase-N	Formate dehydrogenase-N, Fe-S subunit, anaerobic; periplasmic
EG11229	fdnI	g1787750	aa	217	Clockwise	1549362	1550015	Null	Formate dehydrogenase-N	Formate dehydrogenase-N, cytochrome subunit, anaerobic
EG11230	melR	g1790559	aa	302	Counterclockwise	4338743	4339651	Null	Melibiose	Transcriptional activator for melAB, AraC family; autoregulatory repressor in absence of co-activator melibiose
EG11231	rpmI	g1788010	aa	65	Counterclockwise	1797826	1798023	Null	Ribosomal protein, large	50S ribosomal subunit protein A (L35)
EG11232	rpmJ	g1789695	aa	38	Counterclockwise	3440640	3440756	secX	Ribosomal protein, large	50S ribosomal subunit protein X (L36)
EG11233	rstB	g1787894	aa	433	Clockwise	1680906	1682207	uspT	Regulator and sensor homologs near terminus	Sensory histidine kinase in two-component regulatory system with RstA
EG11234	ydiB	g1787983	aa	288	Clockwise	1771813	1772679	Null	Systematic nomenclature	Quinate/shikimate dehydrogenase, NAD(P)-dependent
EG11235	rhlE	g1787016	aa	454	Clockwise	830095	831459	Null	RNA helicase like	ATP-dependent RNA helicase, in RNA degradasome
EG11236	yahA	g1786507	aa	362	Clockwise	331595	332683	Null	Systematic nomenclature	c-di-GMP-specific phosphodiesterase, PDE-A; reaction product is 5'pGpG; dependent on Mg+2 or Mn+2, Ca+2 inhibitory; optimum pH 9.35; monomeric
EG11237	chiA	g1789736	aa	897	Counterclockwise	3465182	3467875	yheB	Chitin	Periplasmic endochitinase/lysozyme, Hns-repressible
EG11238	ybhB	g1786990	aa	158	Counterclockwise	806656	807132	Null	Systematic nomenclature	Raf kinase inhibitor RKIP homolog, function unknown; UPF0098 family; cyoplasmic protein
EG11239	ybhA	g1786982	aa	272	Counterclockwise	796836	797654	modD	Systematic nomenclature	Pyridoxal phosphate (PLP) phosphatase; phosphoramidase; physiological role unknown; HAD14
EG11240	hokB	g48994884	aa	49	Counterclockwise	1489946	1490095	ydcB	Host killing	Small toxic membrane polypeptide; homologous to plasmid-encoded plasmid stabilization toxins regulated by antisense RNA; functional relevance of chromosomal homologs is unknown
EG11241	ycaC	g1787124	aa	208	Counterclockwise	944154	944780	Null	Systematic nomenclature	Predicted hydrolase, isochorismatase family, function unknown; homologous to pyrazinamidase and carbamoylsarcosine amidohydrolase; homooctamer
EG11242	ycaD	g1787126	aa	382	Clockwise	945094	946242	Null	Systematic nomenclature	Predicted transporter, MFS-type, inner membrane protein; function unknown
EG11244	yggE	g1789289	aa	246	Counterclockwise	3065362	3066102	Null	Systematic nomenclature	Oxidative stress defense, DUF541 family, mechanism unknown
EG11245	yggF	g1789298	aa	321	Counterclockwise	3073239	3074204	yggK	Systematic nomenclature	Fructose 1,6 bisphosphatase activity
EG11246	uspE	g1787594	aa	316	Counterclockwise	1395696	1396646	ydaA	Universal stress protein	Stress-induced protein; UV-resistance; tandem Usp domains
EG11247	rumA	g1789148	aa	433	Counterclockwise	2911721	2913022	ygcA	RNA uridine methlytransferase	23S rRNA m(5)U1939 methyltransferase, SAM-dependent
EG11249	mazF	g1789145	aa	111	Counterclockwise	2908778	2909113	chpA;chpAK	Chromosomal homolog of pem	mRNA interferase toxin, antitoxin is MazE; inhibitor of translation by mRNA cleavage
EG11250	chpS	g87082393	aa	83	Clockwise	4446470	4446721	chpBI;yjfB	Chromosomal homolog of pem	ChpS antitoxin, toxin is ChpB
EG11251	ychA	g1787465	aa	269	Clockwise	1266543	1267352	sirB1(S.t.)	Systematic nomenclature	Salmonella sirB1 ortholog, function unknown
EG11252	mukE	g1787153	aa	234	Clockwise	974845	975549	kicA;ycbA	Mukaku (anucleate)	Chromosome condensin MukBEF, MukE subunit
EG11253	ycbB	g1787155	aa	615	Clockwise	980270	982117	Null	Systematic nomenclature	Murein L,D-transpeptidase, periplasmic
EG11254	rlmH	g1786855	aa	155	Counterclockwise	667471	667938	ybeA	rRNA large-subunit methylation	23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent
EG11255	ybeB	g87081768	aa	105	Counterclockwise	667942	668259	slm3	Systematic nomenclature	Ribosome-associated protein, Iojap family, function unknown
EG11256	iraP	g1786581	aa	86	Clockwise	400610	400870	yaiB	Inhibitor of RssB activity during phosphate starvation	Anti-RssB factor, RpoS stabilzer during Pi starvation; anti-adapter protein
EG11257	adrA	g1786584	aa	371	Clockwise	402927	404042	yaiC	AgfD-regulated	Cellulose, biofilm, motility regulator, diguanylate cyclase; CsgD-regulated; membrane protein
EG11258	focA	g1787132	aa	285	Counterclockwise	952832	953689	ycaE	Formate channel	Formate channel; mutants are hypophosphite resistance and have elevated intracellular formate and reduced excreted formate
EG11259	rnr	g87082383	aa	813	Clockwise	4404677	4407118	vacB;yjeC	RNase R	Exoribonuclease R, RNase R
EG11260	yifB	g1790201	aa	506	Counterclockwise	3946472	3947992	Null	Systematic nomenclature	Competence Mg chelatase ComM homolog, function unknown
EG11261	nfsA	g1787075	aa	240	Clockwise	890407	891129	mda18;mdaA;snrA(S.t.);ybjB	Nitrofurazone sensitivity	Nitroreductase A; oxygen-insensitive, NADPH, FMN-dependent, major; reduces a variety of nitroaromatics, e.g. dihydropteridine, nitrofurantoin, nitrofurazone, quinones; SoxS regulon; homodimeric
EG11262	tsgA	g1789764	aa	393	Clockwise	3490590	3491771	gutS;yhfC;yhfH	Tellurite-, selenite-responsive gene	Putative transporter, tellurite-inducible, function unknown; also induced by selenite
EG11263	gspB	g1789719	aa	139	Counterclockwise	3451530	3451949	pinO;pioO	General secretory pathway	Part of H-NS-silenced gsp divergon, type II protein secretion; cloned gsp divergon secretes ChiA, requires gspAB operon
EG11265	cmk	g1787139	aa	227	Clockwise	960424	961107	mssA;ycaF;ycaG	CMP kinase	Cytidylate kinase; multicopy suppressor of UMP kinase mutations
EG11266	yibD	g1790044	aa	344	Counterclockwise	3787070	3788104	Null	Systematic nomenclature	Predicted glycosyltransferase, function unknown; basRS regulon
EG11267	yiaB	g87082293	aa	113	Counterclockwise	3725430	3725771	Null	Systematic nomenclature	Inner membrane protein, YiaAB family, function unknown
EG11268	fmt	g1789683	aa	315	Clockwise	3432236	3433183	yhdD	fMet-tRNA formyltransferase	Methionyl-tRNA formyltransferase
EG11269	hisL	g1788329	aa	16	Clockwise	2088020	2088070	Null	Histidine	his operon leader peptide
EG11270	ilvL	g1790202	aa	32	Clockwise	3948345	3948443	Null	Isoleucine-valine (requirement)	ilvG operon leader peptide
EG11271	pheL	g1788950	aa	15	Clockwise	2735621	2735668	pheAE	Phenylalanine	pheA gene regulatory leader peptide
EG11272	pheM	g1788008	aa	14	Counterclockwise	1797250	1797294	phtL	Phenylalanine	pheST operon regulatory leader peptide
EG11274	trpL	g1787519	aa	14	Counterclockwise	1321062	1321106	trpEE	Tryptophan	Regulatory leader peptide for trp operon
EG11275	ivbL	g1790106	aa	32	Counterclockwise	3850913	3851011	Null	ilvB operon	ilvB operon leader peptide
EG11276	tnaC	g1790143	aa	24	Clockwise	3886458	3886532	tnaL	Tryptophanase	Regulatory leader peptide for tna operon
EG11277	thrL	g1786182	aa	21	Clockwise	190	255	Null	Threonine	Regulatory leader peptide for thrABC operon
EG11279	pyrL	g1790694	aa	44	Counterclockwise	4470422	4470556	Null	Pyrimidine	pyrBI operon regulatory leader peptide
EG11280	leuL	g1786263	aa	28	Counterclockwise	83622	83708	leuLP	Leucine (biosynthesis)	leu operon leader peptide
EG11281	mutL	g1790612	aa	615	Clockwise	4395435	4397282	Null	Mutator	Methyl-directed mismatch repair; matchmaker protein; weak DNA-stimulated ATPase
EG11282	hyfB	g1788827	aa	672	Clockwise	2599840	2601858	yffF	Hydrogenase	Putative hydrogenase 4 component B; membrane protein of Hyf electron transfer complex of FHL system
EG11284	fabZ	g1786377	aa	151	Clockwise	202101	202556	sabA;sefA;sfhC;yaeA	Fatty acid biosynthesis	3R-hydroxymyristoyl acyl carrier protein (ACP) dehydratase
EG11285	glrR	g1788905	aa	444	Counterclockwise	2685491	2686825	qseF;yfhA	GLmy-Regulating response Regulator	Response regulator regulating glmY sRNA;  cognate histidine sensor kinase is GlrK(QseE)
EG11286	argE	g1790395	aa	383	Counterclockwise	4151719	4152870	Arg4;argA	Arginine	Acetylornithine deacetylase
EG11287	ygbA	g1789088	aa	117	Counterclockwise	2854475	2854828	Null	Systematic nomenclature	Function unknown
EG11288	mak	g87081733	aa	302	Clockwise	409368	410276	yajF	MAnno(fructo)Kinase	Cryptic manno(fructo)kinase
EG11289	yeiA	g87082059	aa	411	Clockwise	2233287	2234522	dpdB	Systematic nomenclature	Dihydropyrimidine dehydrogenase, NADH-dependent, subunit C; pyrimidine metabolism; required for swarming phenotype
EG11290	yeiB	g1788475	aa	385	Counterclockwise	2239832	2240989	Null	Systematic nomenclature	Predicted inner membrane protein, function unknown
EG11291	yggG	g87082185	aa	252	Clockwise	3079935	3080693	Null	Systematic nomenclature	Heat shock protein binds Era; predicted metalloprotease lipoprotein; Cys in lipobox conserved; M48 family
EG11292	yghA	g1789378	aa	294	Clockwise	3147684	3148568	Null	Systematic nomenclature	Predicted oxidoreductase , function unknown
